posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO BANESTES S.A.,1.68,22.13,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
2,CAIXA ECONOMICA FEDERAL,1.69,22.29,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
3,BCO DO BRASIL S.A.,1.69,22.3,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
4,BCO FIBRA S.A.,1.78,23.65,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
5,BCO DO ESTADO DO RS S.A.,1.8,23.94,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
6,BCO SAFRA S.A.,1.82,24.21,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
7,BANCOOB,1.83,24.3,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
8,BCO CETELEM S.A.,1.9,25.36,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
9,CREDIARE CFI S.A.,1.94,25.98,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
10,LECCA CFI S.A.,1.95,26.13,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
11,PARANA BCO S.A.,1.98,26.55,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
12,CCB BRASIL S.A. - CFI,1.98,26.56,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
13,BCO CITIBANK S.A.,2.01,26.9,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
14,BANCO BRADESCARD,2.02,27.08,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
15,GAZINCRED S.A. SCFI,2.02,27.08,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
16,BCO FICSA S.A.,2.02,27.19,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
17,KIRTON BANK,2.06,27.66,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
18,BANCO INTER,2.06,27.72,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
19,BCO BARIGUI INV FIN S/A,2.06,27.78,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
20,BCO BRADESCO FINANC. S.A.,2.09,28.12,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
21,BCO VOTORANTIM S.A.,2.09,28.22,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
22,BCO BS2 S.A.,2.11,28.52,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
23,BANCO ORIGINAL,2.11,28.54,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
24,BCO SANTANDER (BRASIL) S.A.,2.12,28.68,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
25,BCO CACIQUE S.A.,2.12,28.68,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
26,BCO DAYCOVAL S.A,2.13,28.71,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
27,BCO MERCANTIL DO BRASIL S.A.,2.13,28.75,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
28,BANCO CIFRA,2.13,28.84,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
29,ITAÚ UNIBANCO BM S.A.,2.14,28.92,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
30,BCO BMG S.A.,2.14,28.95,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
31,MERCANTIL BRASIL FIN S.A. CFI,2.16,29.18,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
32,BCO INDUSTRIAL DO BRASIL S.A.,2.16,29.18,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
33,BCV,2.19,29.68,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
34,BCO AGIBANK S.A.,2.25,30.55,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
35,BCO BRADESCO S.A.,2.29,31.27,218,2012-09-27,27/09/2012 a 03/10/2012,Crédito consignado INSS,Pré-fixado
