posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - CFI S/A,1.35,17.45,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.38,17.81,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.42,18.38,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO DO ESTADO DO RS S.A.,1.5,19.49,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO SAFRA S.A.,1.5,19.55,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.52,19.77,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
7,BCO BANESTES S.A.,1.52,19.82,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
8,SANTINVEST S.A. - CFI,1.58,20.7,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO SANTANDER (BRASIL) S.A.,1.61,21.14,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO BRADESCO S.A.,1.61,21.16,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO DO BRASIL S.A.,1.68,22.09,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO BARIGUI INV FIN S/A,1.69,22.29,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
13,KIRTON BANK,1.7,22.45,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
14,BRB - BCO DE BRASILIA S.A.,1.74,23.06,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
15,PARANA BCO S.A.,1.76,23.3,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
16,BCO DO EST. DO PA S.A.,1.79,23.71,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
17,BCO BRADESCO FINANC. S.A.,1.81,23.97,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
18,BANCOOB,1.81,24.02,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO CETELEM S.A.,1.81,24.04,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
20,BCO ARBI S.A.,1.82,24.18,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
21,BCO MERCANTIL DO BRASIL S.A.,1.82,24.2,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
22,BCO FIBRA S.A.,1.82,24.21,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
23,BANCO INTER,1.87,24.96,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
24,BCO LUSO BRASILEIRO S.A.,1.89,25.23,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
25,ITAÚ UNIBANCO BM S.A.,1.94,25.91,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
26,BCO VOTORANTIM S.A.,2.01,26.97,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
27,BCO DAYCOVAL S.A,2.03,27.3,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
28,BV FINANCEIRA S.A. CFI,2.04,27.47,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
29,BCO BMG S.A.,2.06,27.75,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
30,BIORC FINANCEIRA - CFI S.A.,2.1,28.32,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
31,BCO CCB BRASIL S.A.,2.14,28.99,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO INDUSTRIAL DO BRASIL S.A.,2.19,29.74,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
33,BANCO ITAÚ CONSIGNADO S.A.,2.23,30.26,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
34,BCO DO EST. DE SE S.A.,2.24,30.42,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
35,BCO BS2 S.A.,2.24,30.52,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
36,PARATI - CFI S.A.,2.42,33.31,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
37,ESTRELA MINEIRA,2.65,36.94,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
38,PORTOCRED S.A. - CFI,6.05,102.29,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
39,FACTA S.A. CFI,6.24,106.84,220,2013-05-17,17/05/2013 a 23/05/2013,Crédito pessoal consignado público,Pré-fixado
